TRI Incident Number,Subject Injury Level,Subject Injured,Age,Subject Race,Subject Gender,Force Against MOS,Subject Used Force
2021025962050,No Injury,N,,BLACK,MALE,Physical Force,Y
2021025962110,No Injury,N,,BLACK,MALE,Physical Force,Y
2021026962063,No Injury,N,,BLACK,MALE,Physical Force,Y
2021028962092,No Injury,N,,BLACK,MALE,Physical Force,Y
2021028962096,No Injury,N,,BLACK,MALE,Physical Force,Y
2021029962062,No Injury,N,,BLACK,MALE,Physical Force,Y
2021029962079,No Injury,N,,BLACK,MALE,Physical Force,Y
2021032962081,No Injury,N,,BLACK,MALE,Physical Force,Y
2021032962139,No Injury,N,,BLACK,MALE,Physical Force,Y
2021033962136,No Injury,N,,BLACK,MALE,Physical Force,Y
2021033962315,No Injury,N,,BLACK,MALE,Physical Force,Y
2021033962327,No Injury,N,,BLACK,MALE,Physical Force,Y
2021036962069,No Injury,N,,BLACK,MALE,Physical Force,Y
2021037962033,No Injury,N,,BLACK,MALE,Physical Force,Y
2021037962105,No Injury,N,,BLACK,MALE,Physical Force,Y
2021042962081,No Injury,N,,BLACK,MALE,Physical Force,Y
2021044962166,No Injury,N,,BLACK,MALE,Physical Force,Y
2021047962033,No Injury,N,,BLACK,MALE,Physical Force,Y
2021047962056,No Injury,N,,BLACK,MALE,Physical Force,Y
2021047962113,No Injury,N,,BLACK,MALE,Physical Force,Y
2021051962028,No Injury,N,,BLACK,MALE,Physical Force,Y
2021051962058,No Injury,N,,BLACK,MALE,Physical Force,Y
2021053962015,No Injury,N,,BLACK,MALE,Physical Force,Y
2021059962109,No Injury,N,,BLACK,MALE,Physical Force,Y
2021060962090,No Injury,N,,BLACK,MALE,Physical Force,Y
2021061962056,No Injury,N,,BLACK,MALE,Physical Force,Y
2021061962162,No Injury,N,,BLACK,MALE,Physical Force,Y
2021061962171,No Injury,N,,BLACK,MALE,Physical Force,Y
2021062962068,No Injury,N,,BLACK,MALE,Physical Force,Y
2021063962133,No Injury,N,,BLACK,MALE,Physical Force,Y
2021063962142,No Injury,N,,BLACK,MALE,Physical Force,Y
2021063962269,No Injury,N,,BLACK,MALE,Physical Force,Y
2021064962025,No Injury,N,,BLACK,MALE,Physical Force,Y
2021064962100,No Injury,N,,BLACK,MALE,Physical Force,Y
2021065962047,No Injury,N,,BLACK,MALE,Physical Force,Y
2021065962248,No Injury,N,,BLACK,MALE,Physical Force,Y
2021066962080,No Injury,N,,BLACK,MALE,Physical Force,Y
2021067962048,No Injury,N,,BLACK,MALE,Physical Force,Y
2021067962053,No Injury,N,,BLACK,MALE,Physical Force,Y
2021067962069,No Injury,N,,BLACK,MALE,Physical Force,Y
2021067962124,No Injury,N,,BLACK,MALE,Physical Force,Y
2021068962032,No Injury,N,,BLACK,MALE,Physical Force,Y
2021071962034,No Injury,N,,BLACK,MALE,Physical Force,Y
2021079962107,No Injury,N,,BLACK,MALE,Physical Force,Y
2021080962065,No Injury,N,,BLACK,MALE,Physical Force,Y
2021090962116,No Injury,N,,BLACK,MALE,Physical Force,Y
2021094962033,No Injury,N,,BLACK,MALE,Physical Force,Y
2021094962081,No Injury,N,,BLACK,MALE,Physical Force,Y
2021094962157,No Injury,N,,BLACK,MALE,Physical Force,Y
2021094962229,No Injury,N,,BLACK,MALE,Physical Force,Y
2021095962072,No Injury,N,,BLACK,MALE,Physical Force,Y
2021096962129,No Injury,N,,BLACK,MALE,Physical Force,Y
2021097962059,No Injury,N,,BLACK,MALE,Physical Force,Y
2021098962040,No Injury,N,,BLACK,MALE,Physical Force,Y
2021098962065,No Injury,N,,BLACK,MALE,Physical Force,Y
2021098962068,No Injury,N,,BLACK,MALE,Physical Force,Y
2021098962143,No Injury,N,,BLACK,MALE,Physical Force,Y
2021100962086,No Injury,N,,BLACK,MALE,Physical Force,Y
2021102962106,No Injury,N,,BLACK,MALE,Physical Force,Y
2021102962106,No Injury,N,,BLACK,MALE,Physical Force,Y
2021107962029,No Injury,N,,BLACK,MALE,Physical Force,Y
2021113962026,No Injury,N,,BLACK,MALE,Physical Force,Y
2021122962029,No Injury,N,,BLACK,MALE,Physical Force,Y
2021124962093,No Injury,N,,BLACK,MALE,Physical Force,Y
2021124962116,No Injury,N,,BLACK,MALE,Physical Force,Y
2021126962053,No Injury,N,,BLACK,MALE,Physical Force,Y
2021131962051,No Injury,N,,BLACK,MALE,Physical Force,Y
2021131962056,No Injury,N,,BLACK,MALE,Physical Force,Y
2021139962078,No Injury,N,,BLACK,MALE,Physical Force,Y
2021139962141,No Injury,N,,BLACK,MALE,Physical Force,Y
2021140962045,No Injury,N,,BLACK,MALE,Physical Force,Y
2022020962024,No Injury,N,,BLACK,MALE,Physical Force,Y
2022020962042,No Injury,N,,BLACK,MALE,Physical Force,Y
2022020962058,No Injury,N,,BLACK,MALE,Physical Force,Y
2022020962065,No Injury,N,,BLACK,MALE,Physical Force,Y
2022020962072,No Injury,N,,BLACK,MALE,Physical Force,Y
2022020962085,No Injury,N,,BLACK,MALE,Physical Force,Y
2022020962094,No Injury,N,,BLACK,MALE,Physical Force,Y
2022020962123,No Injury,N,,BLACK,MALE,Physical Force,Y
2022020962149,No Injury,N,,BLACK,MALE,Physical Force,Y
2022020962164,No Injury,N,,BLACK,MALE,Physical Force,Y
2022024962033,No Injury,N,,BLACK,MALE,Physical Force,Y
2022024962117,No Injury,N,,BLACK,MALE,Physical Force,Y
2022025962030,No Injury,N,,BLACK,MALE,Physical Force,Y
2022028962069,No Injury,N,,BLACK,MALE,Physical Force,Y
2022028962106,No Injury,N,,BLACK,MALE,Physical Force,Y
2022028962121,No Injury,N,,BLACK,MALE,Physical Force,Y
2022029962045,No Injury,N,,BLACK,MALE,Physical Force,Y
